"year";"season";"gid";"designation";"female_gid";"female_preferred_name";"female_designation";"female_seed_source_name";"male_gid";"male_preferred_name";"male_designation";"male_seed_source_name";"plot_number";"seed_number";"breeder";"program_name";"ecosystem_program_name";"trait_team";"research_group";"division"
2013;"WS";4010829;"IR 106461";3890333;"IR06A144/IR10F365";"IR 103349";"A13DSC-96";1845909;"IR06N119";;"HB8011";"A13WMC-238";403;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010828;"IR 106460";3890330;"HHZ 1-Y4-Y1/IR10F339";"IR 103346";"A13DSC-93";1845909;"IR06N119";;"HB8011";"A13WMC-237";860;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010827;"IR 106459";3890327;"ZH 1/IR08N210";"IR 103343";"A13DSC-90";2433533;"IR09A228";;"HB8017";"A13WMC-236";605;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010826;"IR 106458";3890457;"12DS-GMET-9/IRRI 145";"IR 103262";"A13DSC-9";3490425;"PR 37942-3B-5-3-2";;"HB8048";"A13WMC-235";300;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010825;"IR 106457";3890324;"PR 37951-3B-37-1-2/IR09N496";"IR 103340";"A13DSC-87";2847870;"IR09F436";;"HB8018";"A13WMC-234";663;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010824;"IR 106456";3890317;"PR 37921-B-3-4-2-1-2/IRRI 158";"IR 103333";"A13DSC-80";3489515;"PR 30245-10-414";;"HB8033";"A13WMC-233";460;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010823;"IR 106455";3890456;"12DS-GMET-9/IR 72102-4-159-1-3-3-3 (NSIC RC 112)";"IR 103261";"A13DSC-8";3490639;"PR 35769-B-1-1-2-3-4";;"HB8036";"A13WMC-232";376;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010822;"IR 106454";3890316;"PR 37921-B-3-4-2-1-2/IRRI 145";"IR 103332";"A13DSC-79";2433533;"IR09A228";;"HB8017";"A13WMC-231";478;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010821;"IR 106453";3890454;"12DS-GMET-9/IR06N209";"IR 103259";"A13DSC-6";2433533;"IR09A228";;"HB8017";"A13WMC-230";305;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010820;"IR 106452";3890291;"PR 36921-B-6-1-3-4/IRRI 154";"IR 103307";"A13DSC-54";2433533;"IR09A228";;"HB8017";"A13WMC-229";657;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010819;"IR 106451";3890291;"PR 36921-B-6-1-3-4/IRRI 154";"IR 103307";"A13DSC-54";3490425;"PR 37942-3B-5-3-2";;"HB8048";"A13WMC-228";465;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
2013;"WS";4010818;"IR 106450";3890279;"IRRI 149/FEDEARROZ 473";"IR 103295";"A13DSC-42";3128637;"IR10F336";;"HB8026";"A13WMC-227";254;"BCollard";"IRRIGATED SEA";"IRRIGATED";;"Irrigated Breeding-Southeast Asia";"PBGB"
