"year";"season";"gid";"designation";"seed_source_name";"cross_preferred_name";"cross_unique_id";"female_gid";"female_preferred_name";"female_line_name";"male_gid";"male_preferred_name";"male_line_name";"breeding_method_name";"study_name";"entry_code"
"2013";"WS";"3489153";"12DS-GMET-22";"HB8001";"12DS-GMET-22";"IRIS 266-12670";;;;;;;"Unknown";"HB2013WS";"HB9001"
"2013";"WS";"3489154";"12DS-GMET-25";"HB8002";"12DS-GMET-25";"IRIS 266-12671";;;;;;;"Unknown";"HB2013WS";"HB9002"
"2013";"WS";"3489144";"12DS-GMET-3";"HB8003";"12DS-GMET-3";"IRIS 266-12661";;;;;;;"Unknown";"HB2013WS";"HB9003"
"2013";"WS";"3546545";"HHZ 17-Y16-Y3-SAL1";"HB8004";"HUANG-HUA-ZHAN*2/CDR 22";"IRIS 266-13387";"2480445";"HUANG-HUA-ZHAN";;"2480512";"HUANG-HUA-ZHAN/CDR 22";;"Backcross";"HB2013WS";"HB9004"
"2013";"WS";"3364480";"HHZ 1-Y 4-Y 1";"HB8005";"HUANG-HUA-ZHAN*2/YUE-XIANG-ZHAN";"IRIS 179-1000443";"2480445";"HUANG-HUA-ZHAN";;"2480527";"HUANG-HUA-ZHAN/YUE-XIANG-ZHAN";;"Backcross";"HB2013WS";"HB9005"
"2013";"WS";"3546511";"HHZ 5-DT20-DT2-DT1";"HB8006";"HUANG-HUA-ZHAN*2/OM 1723";"IRIS 266-13353";"2480445";"HUANG-HUA-ZHAN";;"2480523";"HUANG-HUA-ZHAN/OM 1723";;"Backcross";"HB2013WS";"HB9006"
"2013";"WS";"3546512";"HHZ 5-DT20-DT3-Y2";"HB8007";"HUANG-HUA-ZHAN*2/OM 1723";"IRIS 266-13354";"2480445";"HUANG-HUA-ZHAN";;"2480523";"HUANG-HUA-ZHAN/OM 1723";;"Backcross";"HB2013WS";"HB9007"
"2013";"WS";"3488824";"HHZ 8-SAL 6-SAL 3-Y2";"HB8008";"HUANG-HUA-ZHAN*2/PHALGUNA";"IRIS 323-12278";"2480445";"HUANG-HUA-ZHAN";;"2480520";"HUANG-HUA-ZHAN/PHALGUNA";;"Backcross";"HB2013WS";"HB9008"
"2013";"WS";"1201260";"IR04A115";"HB8009";"IR 68077-82-2-2-2-3/IR00A117";"IRIS 18-348718";"163992";"IR 68077-82-2-2-2-3";"IR 04A115";"506267";"IR00A117";"IR 00A117";"Single cross";"HB2013WS";"HB9009"
"2013";"WS";"2434007";"IR05N412";"HB8010";"IR 72875-94-3-3-2/IR 73707-45-3-2-3";"IRIS 150-1099";"622115";"IR 72875-94-3-3-2";"IR 05N412";"733707";"IR 73707-45-3-2-3";;"Single cross";"HB2013WS";"HB9010"
"2013";"WS";"1855724";"IR06N155";"HB8012";"IR 72158-11-5-2-3/IR 73707-45-3-2-3//IR 72875-94-3-3-2";"IRIS 66-462544";"1113279";"IR 79488";"IR 06N155";"622115";"IR 72875-94-3-3-2";;"Three-way cross";"HB2013WS";"HB9011"
"2013";"WS";"2220463";"IR07A179";"HB8014";"IR01A135/IR 77080-B-34-3";"IRIS 66-547160";"923607";"IR01A135";"IR 07A179";"1192189";"IR 77080-B-34-3";;"Single cross";"HB2013WS";"HB9012"
"2013";"WS";"3173031";"IR09A136";"HB8016";"IR01A135/IRRI 123//IR01A163";"IRIS 266-8658";"1385679";"IR 82499";"IR 09A136";"909971";"IR01A163";"IR 01A163";"Three-way cross";"HB2013WS";"HB9013"
"2013";"WS";"2433533";"IR09A228";"HB8017";"PR 29232-B-17-2-1-1/IR 64";"IRIS 66-629314";"1005291";"PR 29232-B-17-2-1-1";"IR 09A228";"50533";"IR 64";;"Single cross";"HB2013WS";"HB9014"
"2013";"WS";"2847870";"IR09F436";"HB8018";"CIHERANG*2/IRRI 149";"IRIS 253-799762";"2452019";"IR 87424";"IR 09F436";"2349314";"CIHERANG";;"Backcross";"HB2013WS";"HB9015"
