"year";"season";"family_id";"cross_number";"gid";"derive_name";"code";"purpose";"pedigree";"current_generation";"seeding_date";"seed_number";"transplanting_date";"seed_number_transplanting";"recommended_rate";"time_of_application_1";"t1_fertilizer_type";"das_1";"t1_fertilizer_date";"t1_fertilizer_amount";"time_of_application_2";"t2_fertilizer_type";"das_2";"t2_fertilizer_date";"t2_fertilizer_amount";"harvest_date";"plant_number";"germination_date";"flowering_date";"flowering_date_earliest";"flowering_date_latest";"remarks";"for_checking_or_clarification"
"2013";"WS";"3731530";"IR 100043";"4135432";"IR 100043-B";;"Advancement";"IR 06N234/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3731585";"IR 100090";"4189609";"IR 100090-B";;"Advancement";"IR 09N542/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3731631";"IR 100136";"4135434";"IR 100136-B";;"Advancement";"IR 10A125/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3731643";"IR 100148";"4135435";"IR 100148-B";;"Advancement";"IR 09N514/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3731655";"IR 100160";"4135436";"IR 100160-B";;"Advancement";"IR 08N128/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3731666";"IR 100171";"4135437";"IR 100171-B";;"Advancement";"IR 08A176/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2013";"WS";"3891613";"IR 103761";"4135438";"IR 103761-B";;"Advancement";"PR 37866-113-1-4/Milyang 23/OM 4498";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";"Please check how pedigree was written"
"2013";"WS";"3731484";"IR 99997";"4135439";"IR 99997-B";;"Advancement";"IRRI 151/Milyang 23";"F2";"20131009";"1040";;;;;;;;;;;;;;;;;;;;"Sown in small cell. 10 blue trays";
"2012";"WS";"3383303";"IR 96892";"3559541";"IR 96892";;"Breeding";"IR 09F120/IR 04A25";"F2";"20120803";"1142";;;;;;;;;;;;;;"20121113";"448";;;;;;
"2012";"WS";"3383303";"IR 96892";"4135483";"IR 96892-B RGA";;"Breeding";"IR 09F120/IR 04A25";"F3";"20121004";"448";;;;;;;;;;;;;;;;;;;;"Sown in cell trays (5 blue trays)";
"2012";"WS";"3383326";"IR 96915";"3559525";"IR 96915";;"Breeding";"IR 09F436/IR 10F365";"F2";"20120803";"1142";;;;;;;;;;;;;;"20121114";"419";;;;;;
"2012";"WS";"3383326";"IR 96915";"4135484";"IR 96915-B RGA";;"Breeding";"IR 09F436/IR 10F365";"F3";"20121213";"615";;;;;;;;;;;;;;"20130405";"558";;;;;"8 green trays";
