"ABBREV";"LABEL";"NAME";"DESCRIPTION";"DATA_TYPE";"NOT_NULL";"TYPE";"STATUS";"DISPLAY_NAME";"ONTOLOGY_REFERENCE";"BIBLIOGRAPHICAL_REFERENCE";"PROPERTY";"METHOD";"SCALE";"SCALE_UNIT";"SCALE_TYPE";"SCALE_LEVEL";"DEFAULT_VALUE";"MINIMUM_VALUE";"MAXIMUM_VALUE";"VARIABLE_SET";"SYNONYM";"ENTRY_MESSAGE";"CODED_VALUES";"NOTES"
"AP_SCOR_1_9";;"abortion pattern";"Observations are made on staining behavior and number of nuclei in most of the pollens. [CO:rs]";"integer";"FALSE";"observation";"active";"Abortion Pattern";"CO_320:0000331";"Crop Ontology";;"Florets are collected and fixed in 3:1 Acetic alcohol. Pollen grains are squeezed out from some anthers in Acetocarmine stain and observation are made on their staining behavior and number of nuclei visible in most of the pollen grains.";"1= Pollen free TGMS line Norin PL12\n3= Abortion at uni-nucleate stage of pollen 'CMS-WA' type\n5= Abortion at binucleate stage of pollen 'CMS-HL' type\n7= Abortion at trinucleate stage of pollen 'CMS-boro' type\n9= Abortion at later stage and pollen looks like a fertile pollen 518A (O. nivara cytoplasm).";;"categorical";;;1;9;"hybrid";"abortion pattern of male sterile line;pollen abortion type";;;"added by consie"
"Alk_GRNH_1_9";"Alk";"Alkali tolerance";"Observe general growth conditions in relation to standard resistance and susceptible checks. Since some soil problems are very heterogenous in the field, several replications may be needed to obtain precise reading.";"integer";"FALSE";"observation";;"Alkali injury";;"SES 4th Ed. 1996";;"At growth stage: 3-4";"Scale (Alkali & salt injury)\n\n1- Growth and tillering nearly normal\n3= Growth nearly normal but there is some reduction in tillering and some leaves discolored (alkali)/whitish and tolled (salt)\n5= Growth and tillering reduced; most leaves discolored (alkali)/rolled (salt); only a few elongating\n7= Growth completely ceases; most leaves dry; some plant dying\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;"Leaf is counted as discolored or dead if more than half of its area if discolored or dead.";;"added by consie"
"Alk1_FLD_1_9";"Alk1";"Alkali tolerance";"Observation done in the field";"integer";"FALSE";"observation";;"alkali injury";;"SES 4th Ed. 1996";;;"Scale (Alkali & salt injury)\n\n1- Growth and tillering nearly normal\n3= Growth nearly normal but there is some reduction in tillering and some leaves discolored (alkali)/whitish and tolled (salt)\n5= Growth and tillering reduced; most leaves discolored (alkali)/rolled (salt); only a few elongating\n7= Growth completely ceases; most leaves dry; some plant dying\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
;"ALKTOL";"Alkali tolerance";"Sensitivity to the zinc content in the growth environment. [CO:rs]";;"FALSE";"observation";;"Alkali tolerance";"CO_320:0000055";"Crop Ontology";;;;;;;;;;"stress";"Alk;alkali injury";;;"added by consie"
"OTFERT_CONT";"OTFERT";"Amount Other Fertilizer ";"Fertilizer other than nitrogen, phosphorous and potassium applied";"integer";"FALSE";"metadata";"active";"Amount other fertilizer ";;"IRIS";;;"measured in Kg or in grams";;"continuous";;;;;"field management";;;;"added by weusebio"
"AMY_PERC";;"amylose content";"Percent amylose of milled rice. [CO:rs]";"double precision";"FALSE";"observation";"active";"Amylose";"CO_320:0000102";"Crop Ontology";;"Use standard laboratory procedure to determine amylose content. Give amylose content in actual percentage. []";;;"continuous";"ratio";;;;"grain quality";"AMY;amylose content of grain;";;;"consie"
"AL_CONT";;"anther length";"Anther length in mm. [CO:rs]";"float";"FALSE";"observation";"active";"Anther Length";"CO_320:0000150";"Crop Ontology";;"(Wild species). Record the average of five samples. Stage: at anthesis. [RD:7.4.3]";"Measured in mm. [RD:7.4.3]";;"continuous";;;;;"morphological";;;;"consie"
"ApC_SCOR_1_7";"ApC";"apiculus color";"Color of the apiculus. [CO:rs]";"integer";"FALSE";"observation";"active";"Apiculus Color";"CO_320:0000037";"Crop Ontology";;;"1 White\n2 Straw\n3 Brown (tawny)\n4 Red\n5 Red apex\n6 Purple\n7 Purple apex. [SES:115]";;"categorical";;;1;7;"morphological";;;;"consie"
;;"area (ha)";;;"FALSE";;;;;;;;;;;;;;;;;;;
;;"aroma";"The aroma of the cooked/uncooked grains. [CO:rs]";;"FALSE";"observation";;"aroma";"CO_320:0000103";"Crop Ontology";;;;;;;;;;"grain quality";"scent;SCT";;;"added by consie"
