"id";"name";"description";"key_person_id";"date_done";"is_void"
2;"Temporary Non-Admin";"Admin can act like a non-admin user temporarily";2;"2014-02-18";"False"
3;"Lorem Impsum";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc purus libero, porttitor et rhoncus sed, fringilla nec felis. Pellentesque a mi nec velit viverra euismod. Nullam tincidunt dictum elit, non laoreet arcu faucibus dictum. Duis sed porta nunc. Phasellus varius nunc ut lacus lacinia pulvinar. Duis vitae varius felis.";3;"2014-02-19";"True"
4;"Test2";"Test description";6;"2014-02-13";"True"
5;"feature name";"this is a feature description";2;"2014-02-22";"True"
6;"BIMS Wiki";"Initial site for BIMS concepts knowledgebase.";7;"2014-02-25";"False"
7;"Guided Tour";"Initial implementation of a guided tour for users.";7;"2014-02-28";"False"
8;"Data Management Module";"New entry point for data management tools to be used by data managers.";7;"2014-02-25";"False"
9;"Create Production Plan";"An improved user interface and validation for creating, updating, and viewing production plans. This includes a timeline where users can view the summary of dates for tasks and edit the number of days before or after the seeding date for each task.";10;"2014-02-28";"True"
10;"Create Progeny List";"Validation in creating new progeny lists where users can only create a list if all required information is provided. A checklist is provided to guide the user.";8;"2014-02-28";"False"
11;"Data validation for RGA knowledge work tools";"Basic business logic or validation rules for RGA knowledge work tasks.";8;"2014-02-27";"False"
12;"Variable Management";"Tool for data managaers that allows adding of new variables to the system. This also provides a data browser where the user can view, update, or delete variable items.";2;"2014-02-28";"False"
13;"Create Production Plan";"An improved user interface and validation for creating, updating, and viewing production plans. This includes a timeline where users can view the summary of dates for tasks and edit the number of days before or after the seeding date for each task.";10;"2014-03-28";"False"
