"id";"item_id";"module";"controller";"action"
1;7;"auth";"user";"browse"
2;8;"rga";"create";"index"
3;41;"rga";"seeding";"index"
4;6;;"crossCutting";"index"
5;10;"rga";"seedPreparation";"loadPipelineView"
6;44;"rga";"browse";"loadCCRDView"
7;45;"auth";"user";"viewProfile"
8;22;"rga";"createProductionPlan";"index"
9;31;"rga";"browseProductionPlan";"index"
10;37;"rga";"containerManagement";"index"
11;36;"rga";"treatments";"index"
12;46;"rga";"harvest";"index"
13;33;"rga";"containerManagement";"index"
16;43;;"pipeline";"index"
17;47;"changeLog";"browse";"dashboard"
18;48;;"pipeline";"view"
19;11;"rga";"create";"specifyEntries"
20;13;"rga";"create";"seedStocks"
21;17;"rga";"create";"lineDevScheme"
22;49;"rga";"create";"additionalInformation"
23;50;"rga";"create";"preview"
24;51;"rga";"browse";"index"
25;52;"rga";"breakSeedDormancy";"index"
26;53;"rga";"selection";"index"
27;54;"rga";"browseProductionPlan";"index"
28;27;"rga";"seedPreparation";"index"
29;55;"rga";"update";"index"
30;56;"rga";"update";"basicInformation"
31;57;"rga";"update";"specifyEntries"
32;58;"rga";"update";"seedStocks"
33;59;"rga";"update";"lineDevScheme"
34;60;"rga";"update";"additionalInformation"
35;61;"rga";"update";"preview"
36;62;"rga";"browseProductionPlan";"pipelineProductionPlan"
37;63;"rga";"updateProductionPlan";"index"
38;34;"rga";"containerManagement";"index"
39;40;"rga";"containerManagement";"index"
40;64;"rga";"drying";"index"
