"id";"team_id";"member_id";"role_id";"user_role_id";"is_void"
6;2;7;18;7;"False"
21;2;9;16;29;"True"
28;2;10;15;36;"False"
29;2;6;14;37;"False"
30;2;12;15;38;"False"
31;2;3;15;39;"False"
32;2;5;16;40;"False"
37;3;6;14;45;"True"
38;3;9;14;46;"False"
39;3;8;14;47;"False"
40;3;3;14;48;"True"
41;3;2;14;49;"False"
42;3;11;16;50;"False"
43;3;12;17;51;"False"
45;2;4;14;53;"False"
46;2;11;15;54;"False"
47;2;2;16;55;"False"
48;6;2;14;62;"False"
49;6;11;14;63;"False"
50;6;6;14;64;"False"
51;6;9;14;65;"False"
52;6;7;18;66;"False"
53;6;3;14;67;"False"
54;6;5;14;68;"False"
55;6;4;14;69;"False"
56;6;10;14;70;"False"
57;6;12;14;71;"False"
58;6;8;14;72;"False"
61;3;7;14;75;"False"
